Pubmed ID,Title,Authors,Publication Date,Non-academic Author(s),Company Affiliation(s),Corresponding Author Email
39882666,Yttrium-90 Radioembolization for Intrahepatic Cholangiocarcinoma: Non-University Tertiary Care Center Experience.,"Sahar Darian, Juan S Malo, Joseph S Lim, Joseph F Buell, Houssam Osman, Travis Van Meter, D Rohan Jeyarajah",2025,,,
39882665,Assessing the Robustness of the Clock Transition in a Mononuclear ,"Idris Tlemsani, François Lambert, Nicolas Suaud, Christian Herrero, Régis Guillot, Anne-Laure Barra, Serge Gambarelli, Talal Mallah",2025,,,
39882661,A novel ,"Agata Hajda, Elizaveta F Petrusevich, Robert Zaleśny, Borys Ośmiałowski, Joanna Olesiak-Bańska",2025,,,
39882650,Very long-term remission with azacitidine in VEXAS syndrome.,"Lin-Pierre Zhao, Vincent Jachiet, Olivier Kosmider, Lise Larcher, Emmanuelle Clappier, Marie Sébert, Lionel Adès, Pierre Hirsch, Thibault Mahévas, Maxime Battistella, Jean-David Bouaziz, Arsène Mekinian, Pierre Fenaux",2025,,,
39882629,Emergent Carotid Stenting During Thrombectomy in Tandem Occlusions Secondary to Dissection: A STOP-CAD Secondary Study.,"João André Sousa, Marc Rodrigo-Gisbert, Liqi Shu, Anqi Luo, Han Xiao, Noor A Mahmoud, Asghar Shah, Ana Luyza Oliveira Santos, Marina Moore, Daniel M Mandel, Mirjam R Heldner, Vasco Barata, Sara Bernardo-Castro, Nils Henninger, Jayachandra Muppa, Marcel Arnold, Ahmad Nehme, Aaron Rothstein, Ossama Khazaal, Josefin E Kaufmann, Stefan T Engelter, Christopher Traenka, Issa Metanis, Ronen R Leker, Christian H Nolte, Malik Ghannam, Edgar A Samaniego, Mohammad AlMajali, Alexandre Y Poppe, Michele Romoli, Jennifer A Frontera, Marialuisa Zedde, Wayneho Kam, Brian Mac Grory, Faddi Ghassan Saleh Velez, Tamra Ranasinghe, James E Siegler, Adeel S Zubair, João Pedro Marto, Piers Klein, Thanh N Nguyen, Mohamad Abdalkader, Gabriel Paulo Mantovani, Alexis N Simpkins, Shayak Sen, Marwa Elnazeir, Shadi Yaghi, Joao Sargento-Freitas, Manuel Requena",2025,,,
39882626,Effect of Remote Ischemic Conditioning on the Form and Function of Red Blood Cells in Patients With Acute Ischemic Stroke.,"Rolf Ankerlund Blauenfeldt, Jennifer Waller, Kim Ryun Drasbek, Jesper Nørgaard Bech, Anne-Mette Hvas, Julie Brogaard Larsen, Morten Nørgaard Andersen, Marlene Christina Nielsen, Maria Kjølhede, Mathilde Kjeldsen, Martin Faurholdt Gude, Mohammad Badruzzaman Khan, Babak Baban, Grethe Andersen, David Charles Hess",2025,,,
39882624,Transforming Early Stroke Care Through Mobile Stroke Treatment Unit Rendezvous With Rural Emergency Medical Services.,"Nicolle W Davis, Mahmoud Fayed, Evan Hardee, David Lykens, Jeannette M Hester, Ashley E Magnuson, Amita Singh, Teng J Peng, Anna Khanna",2025,,,
39882622,Spontaneous Thrombosis of Brain Arteriovenous Malformation Draining Veins: Concerns on Nonhemorrhagic Symptoms.,"Fabio Torregrossa, Domingos Coiteiro",2025,,,
39882619,Percutaneous permeabilisation with electrosurgery of intrahepatic inferior vena cava agenesis in a 12-year-old boy.,"Marc Figueras-Coll, Laura Sabidó-Sánchez, Pedro Betrián-Blasco",2025,,,
39882617,Abolition of Aorticorenal Ganglia Pacing Responses Improves Denervation Efficacy.,"Poornima Balaji, Xingzhou Liu, Vu Toan Tran, Michael A Barry, Albert Vien, Edward Yang, Duc Minh Nguyen, Urja Patel, Juntang Lu, Shirley Alvarez, Sushil Bandodkar, Winny Varikatt, Alistair McEwan, Stuart P Thomas, Pierre C Qian",2025,,,
